"distance:vector SingleCell_Standalone.ue[0].cellularNic.nrChannelModel[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",,"throughput:vector SingleCell_Standalone.ue[0].app[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",
1,63.8964856697119925,0.1,0
1.002,63.8964856697119925,0.2,0
1.02,64.15878730049399775,0.3,0
1.021,64.15878730049399775,0.4,0
1.04,64.30456391037600365,0.5,0
1.041,64.30456391037600365,0.6,0
1.06,64.72805249263498665,0.7,0
1.062,64.72805249263498665,0.8,0
1.08,65.03524390460898965,0.9,0
1.081,65.03524390460898965,1,0
1.1,65.3575148550920059,1.1,400000
1.102,65.3575148550920059,1.2,400000
1.12,65.5629009831509959,1.3,400000
1.121,65.5629009831509959,1.4,400000
1.14,65.82711134644497955,1.5,400000
1.141,65.82711134644497955,1.6,400000
1.16,65.82711134644497955,1.7,400000
1.162,66.2535364570899785,1.8,400000
1.18,66.50390138405498385,1.9,400000
1.181,66.50390138405498385,2,400000
1.2,66.82818561900100435,2.1,400000
1.202,66.82818561900100435,2.2,400000
1.22,66.88720401327699935,2.3,400000
1.222,67.1381922179340049,2.4,400000
1.24,67.3894373596849899,2.5,400000
1.241,67.3894373596849899,2.6,400000
1.26,67.5225525341859905,2.7,400000
1.261,67.5225525341859905,2.8,400000
1.28,67.98164386244798125,2.9,400000
1.282,67.98164386244798125,3,400000
1.3,68.30787521378198315,3.1,400000
1.302,68.30787521378198315,3.2,400000
1.32,68.59001933070499015,3.3,400000
1.321,68.59001933070499015,3.4,400000
1.34,68.59001933070499015,3.5,400000
1.342,68.91702007066899655,3.6,400000
1.36,69.19977748170799685,3.7,400000
1.361,69.19977748170799685,3.8,400000
1.38,69.19977748170799685,3.9,400000
1.381,69.19977748170799685,4,400000
1.4,69.79601003865198515,4.1,400000
1.401,69.79601003865198515,4.2,400000
1.42,70.03485940079400485,4.3,400000
1.422,70.03485940079400485,4.4,400000
1.44,70.12447971545898875,4.5,400000
1.442,70.12447971545898875,4.6,400000
1.46,70.5879631026809873,4.7,400000
1.462,70.5879631026809873,4.8,400000
1.48,70.8723978586919825,4.9,400000
1.482,70.8723978586919825,5,400000
1.5,71.2920612439390024,5.1,400000
1.502,71.2920612439390024,5.2,400000
1.52,71.5921778240349906,5.3,400000
1.522,71.5921778240349906,5.4,400000
1.54,71.81748916648098175,5.5,400000
1.541,71.81748916648098175,5.6,400000
1.56,72.1782454057029948,5.7,400000
